"Space Name","Location Name","Record Date","Max. Occupancy","Avg. Occupancy","Ins","Outs"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 00:00:00","25","25","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 00:15:00","25","25","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 00:30:00","25","25","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 00:45:00","25","25","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 01:00:00","25","25","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 01:15:00","25","25","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 01:30:00","25","25","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 01:45:00","25","25","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 02:00:00","25","25","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 02:15:00","25","25","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 02:30:00","25","25","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 02:45:00","25","25","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 03:00:00","25","25","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 03:15:00","25","25","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 03:30:00","25","25","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 03:45:00","25","25","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 04:00:00","0","0","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 04:15:00","0","0","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 04:30:00","0","0","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 04:45:00","0","0","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 05:00:00","0","0","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 05:15:00","0","0","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 05:30:00","0","0","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 05:45:00","0","0","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 06:00:00","0","0","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 06:15:00","0","0","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 06:30:00","0","0","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 06:45:00","0","0","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 07:00:00","3","2.7333333333333334","3","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 07:15:00","3","3","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 07:30:00","3","3","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 07:45:00","3","3","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 08:00:00","3","3","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 08:15:00","4","3.8666666666666667","1","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 08:30:00","4","3.7333333333333334","0","1"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 08:45:00","3","3","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 09:00:00","3","3","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 09:15:00","3","3","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 09:30:00","3","3","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 09:45:00","3","3","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 10:00:00","3","3","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 10:15:00","3","3","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 10:30:00","3","3","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 10:45:00","3","3","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 11:00:00","3","3","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 11:15:00","3","3","0","0"
"WPI George C. Gordon Library SafeSpace","WPI George C. Gordon Library","2025-02-09 11:30:00","4","3.6666666666666665","1","0"
